province,year,month,date,malaria_cases,malaria_incidence,precip_mm,precip_lag1,precip_lag2,temp_mean_celsius,iosd_index,iosd_lag1,iosd_lag2,iosd_phase,enso_oni,enso_lag1,enso_phase,season,wet_season,population,notes
Maputo,2020,1,2020-01-01,7638,3.0552,245.3,,,,0.82,,,positive,,,,wet,1,2500000,
Maputo,2020,2,2020-02-01,7318,2.9272,198.7,245.3,,,0.95,0.82,,positive,,,,wet,1,2500000,
Maputo,2020,3,2020-03-01,6566,2.6264000000000003,156.8,198.7,245.3,,0.88,0.95,0.82,positive,,,,wet,1,2500000,
Maputo,2020,4,2020-04-01,4796,1.9184,89.2,156.8,198.7,,0.45,0.88,0.95,positive,,,,wet,1,2500000,
Maputo,2020,5,2020-05-01,4826,1.9304000000000001,45.1,89.2,156.8,,0.23,0.45,0.88,neutral,,,,dry,0,2500000,
Maputo,2020,6,2020-06-01,3765,1.506,12.3,45.1,89.2,,-0.12,0.23,0.45,neutral,,,,dry,0,2500000,
Maputo,2020,7,2020-07-01,2398,0.9592,8.7,12.3,45.1,,-0.34,-0.12,0.23,neutral,,,,dry,0,2500000,
Maputo,2020,8,2020-08-01,1887,0.7548,5.2,8.7,12.3,,-0.45,-0.34,-0.12,negative,,,,dry,0,2500000,
Maputo,2020,9,2020-09-01,2230,0.892,23.4,5.2,8.7,,-0.28,-0.45,-0.34,neutral,,,,dry,0,2500000,
Maputo,2020,10,2020-10-01,3325,1.33,78.9,23.4,5.2,,0.15,-0.28,-0.45,neutral,,,,dry,0,2500000,
Maputo,2020,11,2020-11-01,5251,2.1004,145.2,78.9,23.4,,0.56,0.15,-0.28,positive,,,,wet,1,2500000,
Maputo,2020,12,2020-12-01,5072,2.0288,187.6,145.2,78.9,,0.71,0.56,0.15,positive,,,,wet,1,2500000,
